15.03.2023,24.282,7,24.699,6,25.108,9,23.932,4,614,31.000,-1,69
14.03.2023,24.699,7,24.121,5,26.365,9,23.994,6,753,06.000,2,43
13.03.2023,24.114,4,21.994,8,24.406,2,21.859,6,733,63.000,9,64
12.03.2023,21.994,8,20.465,0,22.028,6,20.294,2,455,69.000,7,46
11.03.2023,20.467,5,20.156,5,20.669,5,19.796,7,453,46.000,1,54
10.03.2023,20.156,7,20.362,0,20.362,6,19.591,8,655,27.000,-1,01
09.03.2023,20.361,8,21.710,8,21.826,5,20.079,6,468,76.000,-6,21
08.03.2023,21.710,8,22.197,8,22.274,3,21.661,3,316,51.000,-2,19
07.03.2023,22.197,8,22.410,1,22.535,1,21.968,6,304,75.000,-0,95
06.03.2023,22.410,0,22.428,2,22.595,4,22.320,1,215,31.000,-0,08
05.03.2023,22.428,3,22.347,1,22.636,7,22.213,5,160,57.000,0,36
04.03.2023,22.347,1,22.354,7,22.403,7,22.167,4,123,93.000,-0,03
03.03.2023,22.354,4,23.465,6,23.473,4,22.051,9,344,63.000,-4,73
02.03.2023,23.465,4,23.642,2,23.780,5,23.208,7,249,26.000,-0,75
01.03.2023,23.642,2,23.130,6,23.914,1,23.025,3,328,77.000,2,21
28.02.2023,23.130,5,23.494,0,23.595,0,23.033,8,275,10.000,-1,55
27.02.2023,23.494,1,23.558,7,23.876,2,23.166,8,297,65.000,-0,27
26.02.2023,23.558,7,23.166,1,23.671,8,23.066,0,209,12.000,1,69
25.02.2023,23.166,1,23.191,3,23.215,3,22.777,4,198,35.000,-0,11
24.02.2023,23.191,5,23.936,4,24.123,4,22.970,3,367,99.000,-3,11
23.02.2023,23.936,3,24.186,6,24.590,4,23.637,9,417,46.000,-1,03
22.02.2023,24.186,6,24.450,7,24.474,3,23.593,4,400,24.000,-1,08
21.02.2023,24.450,7,24.839,5,25.236,8,24.160,8,395,97.000,-1,57
20.02.2023,24.839,5,24.302,8,25.085,4,23.868,6,363,02.000,2,21
19.02.2023,24.302,9,24.631,3,25.175,2,24.273,7,312,64.000,-1,33
18.02.2023,24.631,4,24.573,5,24.838,9,24.457,0,223,77.000,0,24
17.02.2023,24.573,5,23.538,2,24.984,7,23.373,0,523,85.000,4,39
16.02.2023,23.539,6,24.328,1,25.233,8,23.525,9,484,50.000,-3,24
15.02.2023,24.327,9,22.198,5,24.330,9,22.050,8,401,53.000,9,59
14.02.2023,22.198,5,21.776,9,22.308,6,21.556,2,378,39.000,1,96
13.02.2023,21.772,6,21.782,7,21.887,5,21.418,7,312,04.000,-0,07
12.02.2023,21.786,8,21.859,9,22.080,7,21.653,1,211,65.000,-0,33
11.02.2023,21.859,8,21.627,4,21.902,9,21.605,3,182,07.000,1,04
10.02.2023,21.635,0,21.792,5,21.933,6,21.491,7,352,79.000,-0,72
09.02.2023,21.792,5,22.964,6,23.003,6,21.744,6,425,44.000,-5,10
08.02.2023,22.964,6,23.251,7,23.425,1,22.691,7,289,12.000,-1,23
07.02.2023,23.251,7,22.761,8,23.338,8,22.748,2,318,98.000,2,15
06.02.2023,22.761,8,22.936,0,23.130,6,22.633,7,278,58.000,-0,76
05.02.2023,22.936,0,23.326,9,23.423,4,22.766,5,217,26.000,-1,66
04.02.2023,23.323,8,23.431,2,23.571,8,23.269,8,170,27.000,-0,46
03.02.2023,23.431,2,23.429,1,23.694,1,23.233,8,349,36.000,0,02
02.02.2023,23.427,6,23.726,2,24.207,2,23.398,1,382,86.000,-1,26
01.02.2023,23.725,6,23.124,7,23.784,5,22.809,6,333,18.000,2,60
31.01.2023,23.125,1,22.832,2,23.262,9,22.724,9,289,38.000,1,28
30.01.2023,22.832,2,23.746,0,23.794,0,22.560,0,339,62.000,-3,88
29.01.2023,23.753,1,23.023,5,23.952,9,22.973,3,320,86.000,3,15
28.01.2023,23.027,9,23.074,6,23.182,3,22.889,8,156,96.000,-0,20
27.01.2023,23.074,6,23.016,0,23.480,3,22.602,9,310,36.000,0,25
26.01.2023,23.016,0,23.055,2,23.259,5,22.869,0,320,97.000,-0,17
25.01.2023,23.055,1,22.632,5,23.779,0,22.366,3,388,18.000,1,87
24.01.2023,22.632,5,22.916,3,23.156,1,22.517,1,334,17.000,-1,23
23.01.2023,22.915,5,22.709,0,23.161,8,22.527,9,327,85.000,0,91
22.01.2023,22.707,8,22.775,7,23.068,7,22.323,0,280,64.000,-0,30
21.01.2023,22.775,7,22.677,5,23.304,5,22.461,1,382,69.000,0,43
20.01.2023,22.677,2,21.074,9,22.718,5,20.879,3,373,74.000,7,57
19.01.2023,21.081,2,20.670,6,21.169,4,20.669,7,275,76.000,1,99
18.01.2023,20.670,6,21.137,1,21.584,1,20.448,3,388,67.000,-2,21
17.01.2023,21.137,1,21.184,4,21.506,4,20.926,2,310,04.000,-0,22
16.01.2023,21.184,2,20.880,1,21.416,8,20.698,9,337,46.000,1,46
15.01.2023,20.879,8,20.956,0,21.032,2,20.585,7,205,80.000,-0,37
